Box Number,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,6,6,6,7,7,7,8,8,8,9,9,9,10,10,10
Columns,event_code,timestamp,counter,event_code,timestamp,counter,event_code,timestamp,counter,event_code,timestamp,counter,event_code,timestamp,counter,event_code,timestamp,counter,event_code,timestamp,counter,event_code,timestamp,counter,event_code,timestamp,counter,event_code,timestamp,counter
0,Start Date, 12/04/2019,,Start Date, 12/04/2019,,Start Date, 12/04/2019,,Start Date, 12/04/2019,,Start Date, 12/04/2019,,Start Date, 12/04/2019,,Start Date, 12/04/2019,,Start Date, 12/04/2019,,Start Date, 12/04/2019,,Start Date, 12/04/2019,
1,Start Time, 10-59-21,,Start Time, 10-59-19,,Start Time, 10-59-18,,Start Time, 10-59-17,,Start Time, 10-59-15,,Start Time, 10-59-14,,Start Time, 10-59-13,,Start Time, 10-59-11,,Start Time, 10-59-09,,Start Time, 10-59-08,
2,Mouse Line, tetO1B,,Mouse Line, tetO1B,,Mouse Line, tetO1B,,Mouse Line, tetO1B,,Mouse Line, tetO1B,,Mouse Line, tetO1B,,Mouse Line, tetO1B,,Mouse Line, tetO1B,,Mouse Line, tetO1B,,Mouse Line, tetO1B,
3,Experiment, Group3 AvA,,Experiment, Group3 AvA,,Experiment, Group3 AvA,,Experiment, Group3 AvA,,Experiment, Group3 AvA,,Experiment, Group3 AvA,,Experiment, Group3 AvA,,Experiment, Group3 AvA,,Experiment, Group3 AvA,,Experiment, Group3 AvA,
4,Paradigm, P1,,Paradigm, P1,,Paradigm, P1,,Paradigm, P1,,Paradigm, P1,,Paradigm, P1,,Paradigm, P1,,Paradigm, P1,,Paradigm, P1,,Paradigm, P1,
5,Group, adult,,Group, adult,,Group, adult,,Group, adult,,Group, adult,,Group, adol,,Group, adol,,Group, adol,,Group, adol,,Group, adol,
6,Sex, female,,Sex, female,,Sex, female,,Sex, female,,Sex, female,,Sex, female,,Sex, female,,Sex, female,,Sex, female,,Sex, female,
7,Subject, 800,,Subject, 801,,Subject, 802,,Subject, 825,,Subject, 826,,Subject, 853,,Subject, 854,,Subject, 855,,Subject, 856,,Subject, 857,
8,Box Number, 1,,Box Number, 2,,Box Number, 3,,Box Number, 4,,Box Number, 5,,Box Number, 6,,Box Number, 7,,Box Number, 8,,Box Number, 9,,Box Number, 10,
9,0113,152,,0113,169,,0113,155,,0113,155,,0113,174,,0113,176,,0113,151,,0113,157,,0113,137,,0113,140,
10,Paradigm, NEW_P1,,Paradigm, NEW_P1,,Paradigm, NEW_P1,,Paradigm, NEW_P1,,Paradigm, NEW_P1,,Paradigm, NEW_P1,,Paradigm, NEW_P1,,Paradigm, NEW_P1,,Paradigm, NEW_P1,,Paradigm, NEW_P1,
11,7070,0,,7070,0,,7070,0,,7070,0,,7070,0,,7070,0,,7070,0,,7070,0,,7070,0,,7070,0,
12,8070,0,,8070,0,,8070,0,,8070,0,,8070,0,,8070,0,,8070,0,,8070,0,,8070,0,,8070,0,
13,9070,0,,9070,0,,9070,0,,9070,0,,9070,0,,9070,0,,9070,0,,9070,0,,9070,0,,9070,0,
14,5521,0,,5521,0,,5521,0,,5521,0,,5521,0,,5521,0,,5521,0,,5521,0,,5521,0,,5521,0,
15,8071,21515797,,8071,10384928,,8071,1566129,,8071,2111537,,8071,15645,,8071,3223111,,9071,89152,,8071,15791662,,8071,13787908,,8071,1004198,
16,7529,,0.0,7529,,0.0,7529,,0.0,7529,,0.0,7529,,0.0,7529,,0.0,9070,89749,,7529,,0.0,7529,,0.0,7529,,0.0
17,8529,,1.0,8529,,1.0,8529,,1.0,8529,,1.0,8529,,1.0,8529,,1.0,8071,189918,,8529,,1.0,8529,,1.0,8529,,1.0
18,9529,,0.0,9529,,0.0,9529,,0.0,9529,,0.0,9529,,0.0,9529,,0.0,7529,,0.0,9529,,0.0,9529,,0.0,9529,,0.0
19,5520,21515798,,5520,10384929,,5520,1566130,,5520,2111538,,5520,15646,,5520,3223112,,8529,,1.0,5520,15791663,,5520,13787909,,5520,1004198,
20,8171,21515798,,8171,10384929,,8171,1566131,,8171,2111538,,8171,15647,,8171,3223112,,9529,,1.0,8171,15791664,,8171,13787909,,8171,1004199,
21,8271,21515798,,8271,10384929,,8271,1566131,,8271,2111538,,8271,15647,,8271,3223112,,5520,189919,,8271,15791664,,8271,13787909,,8271,1004199,
22,8070,21515824,,8270,10385002,,8070,1566144,,8270,2111611,,8270,15720,,8270,3223185,,8171,189920,,8070,15791686,,8270,13787982,,8270,1004272,
23,8270,21515871,,8170,10387930,,8270,1566204,,8070,2113163,,8070,17748,,8070,3224532,,8271,189920,,8270,15791737,,8070,13789303,,8070,1004801,
24,8071,21518255,,8070,10393072,,8071,1566382,,8170,2114539,,8170,18648,,8170,3226113,,8270,189993,,8071,15792397,,8071,13789940,,8071,1004889,
25,8070,21518425,,7519,,0.0,8070,1568505,,7519,,0.0,8071,31276,,8071,3237095,,8070,191681,,8070,15793569,,8170,13790910,,8070,1005017,
26,8170,21518799,,8519,,0.0,8170,1569132,,8519,,0.0,8070,31299,,8070,3237198,,8170,192921,,8071,15793606,,8070,13791286,,8071,1005224,
27,9071,21532847,,9519,,0.0,8071,1571441,,9519,,0.0,7519,,0.0,8071,3237555,,7519,,0.0,8070,15793814,,8071,13798616,,8070,1005537,
28,9070,21535293,,5521,10432930,,8070,1572153,,5521,2161539,,8519,,1.0,8070,3238286,,8519,,0.0,8071,15794556,,8070,13801286,,8071,1005645,
29,8071,21542258,,8071,10435688,,8071,1572211,,8071,8985551,,9519,,0.0,8071,3241005,,9519,,0.0,8070,15794592,,8071,13801327,,8070,1006045,
30,8070,21542280,,7529,,0.0,8070,1572987,,7529,,0.0,5521,52648,,8070,3241577,,5521,243921,,8071,15794635,,8070,13801383,,8071,1006134,
31,8071,21542331,,8529,,1.0,7519,,0.0,8529,,1.0,8071,57856,,8071,3261191,,8071,891781,,8170,15794665,,7519,,0.0,8070,1006147,
32,8070,21544019,,9529,,0.0,8519,,2.0,9529,,0.0,7529,,0.0,8070,3261770,,7529,,0.0,8070,15794723,,8519,,2.0,8071,1006226,
33,7071,21551962,,5520,10435689,,9519,,0.0,5520,8985552,,8529,,1.0,7519,,0.0,8529,,1.0,8071,15795200,,9519,,0.0,8070,1006654,
34,7070,21553163,,8171,10435689,,5521,1601132,,8171,8985552,,9529,,0.0,8519,,4.0,9529,,0.0,8070,15795426,,5521,13835910,,8071,1007180,
35,7519,,1.0,8271,10435689,,8071,5987391,,8271,8985552,,5520,57856,,9519,,0.0,5520,891782,,7519,,0.0,8071,13837260,,8170,1007200,
36,8519,,2.0,8270,10435762,,7529,,0.0,8270,8985625,,8171,57857,,5521,3281113,,8171,891783,,8519,,1.0,7529,,0.0,8070,1007302,
