Box Number,1,1,1,1,2,2,2,2,3,3,3,3,4,4,4,4,5,5,5,5,6,6,6,6,7,7,7,7,8,8,8,8,9,9,9,9,10,10,10,10
Columns,Left,Middle,Right,Total,Left,Middle,Right,Total,Left,Middle,Right,Total,Left,Middle,Right,Total,Left,Middle,Right,Total,Left,Middle,Right,Total,Left,Middle,Right,Total,Left,Middle,Right,Total,Left,Middle,Right,Total,Left,Middle,Right,Total
2019/12/04 event_code: x071,12.0,489.0,15.0,516.0,13.0,973.0,83.0,1069.0,19.0,634.0,47.0,700.0,49.0,428.0,50.0,527.0,28.0,342.0,26.0,396.0,23.0,585.0,96.0,704.0,52.0,950.0,126.0,1128.0,29.0,950.0,29.0,1008.0,57.0,1418.0,42.0,1517.0,62.0,873.0,112.0,1047.0
2019/12/04 event_code: x520,0.0,92.0,0.0,92.0,0.0,169.0,0.0,169.0,0.0,174.0,0.0,174.0,0.0,165.0,0.0,165.0,0.0,196.0,0.0,196.0,0.0,260.0,0.0,260.0,0.0,295.0,0.0,295.0,0.0,183.0,0.0,183.0,0.0,317.0,0.0,317.0,0.0,328.0,0.0,328.0
2019/12/04 event_code: x271,0.0,92.0,0.0,92.0,0.0,169.0,0.0,169.0,0.0,174.0,0.0,174.0,0.0,165.0,0.0,165.0,0.0,196.0,0.0,196.0,0.0,260.0,0.0,260.0,0.0,295.0,0.0,295.0,0.0,183.0,0.0,183.0,0.0,317.0,0.0,317.0,0.0,328.0,0.0,328.0
2019/12/04 counter: xx29,1.0,92.0,1.0,94.0,1.0,169.0,16.0,186.0,3.0,174.0,1.0,178.0,8.0,165.0,2.0,175.0,2.0,196.0,2.0,200.0,2.0,260.0,18.0,280.0,12.0,295.0,12.0,319.0,1.0,183.0,4.0,188.0,6.0,317.0,9.0,332.0,5.0,328.0,8.0,341.0
2019/12/04 counter: xx19,11.0,127.0,14.0,152.0,12.0,279.0,67.0,358.0,16.0,356.0,46.0,418.0,40.0,213.0,46.0,299.0,24.0,121.0,24.0,169.0,21.0,271.0,78.0,370.0,40.0,514.0,114.0,668.0,28.0,362.0,25.0,415.0,50.0,805.0,33.0,888.0,57.0,404.0,103.0,564.0
2019/12/04 counter: xx59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019/12/04 counter: xx49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019/12/04 event_code: x170,0.0,92.0,0.0,92.0,0.0,169.0,0.0,169.0,0.0,174.0,0.0,174.0,0.0,165.0,0.0,165.0,0.0,196.0,0.0,196.0,0.0,260.0,0.0,260.0,0.0,295.0,0.0,295.0,0.0,183.0,0.0,183.0,0.0,317.0,0.0,317.0,0.0,328.0,0.0,328.0
2019/12/04 event_code: x160,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019/12/04 event_code: x540,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
